Title,Date
"Central Intelligence","2024-09-24"
"Spirited Away","2024-09-19"
"Miller's Girl","2024-09-14"
"Fast & Furious","2024-09-10"
"2 Fast 2 Furious","2024-09-10"
"The Day After Tomorrow","2024-09-10"
"The Fast and the Furious: Tokyo Drift","2024-09-08"
"Dear Evan Hansen","2024-09-08"
"DEATH NOTE: Death Note: Confrontation","2024-09-08"
"Black Mirror: Season 6: Loch Henry","2024-08-30"
"Black Mirror: Season 2: White Bear","2024-08-28"
"Black Mirror: Season 6: Mazey Day","2024-08-28"
"Fall","2024-08-27"
"The Guilty","2024-08-25"
"Alice in Borderland: Season 1: Episode 4","2024-08-25"
"Chef","2024-08-24"
"Bullet Train","2024-08-12"
"Kingsman: The Secret Service","2024-08-12"
"The Umbrella Academy: Season 4: The Unbearable Tragedy of Getting What You Want","2024-08-10"
"3 Body Problem: Season 1: Wallfacer","2024-08-08"
"3 Body Problem: Season 1: Only Advance","2024-08-08"
"3 Body Problem: Season 1: The Stars Our Destination","2024-08-08"
"3 Body Problem: Season 1: Judgment Day","2024-08-08"
"3 Body Problem: Season 1: Our Lord","2024-08-08"
"3 Body Problem: Season 1: Destroyer of Worlds","2024-08-07"
"3 Body Problem: Season 1: Red Coast","2024-08-07"
"3 Body Problem: Season 1: Countdown","2024-08-07"
"BAKI: Season 1: Part 1: Dark Martial Arts","2024-08-05"
"BAKI: Season 1: Part 1: Synchronicity","2024-08-05"
"Maze Runner: The Scorch Trials","2024-08-04"
"The Karate Kid","2024-08-04"
"Jujutsu Kaisen: Ryomen Sukuna","2024-08-04"
"Arcane: Some Mysteries Are Better Left Unsolved","2024-07-31"
"Arcane: Welcome to the Playground","2024-07-31"
"Transformers: Rise of the Beasts","2024-07-31"
"Black Mirror: Season 4: Hang the DJ","2024-07-29"
"Black Mirror: Season 4: Crocodile","2024-07-29"
"Talk to Me","2024-07-29"
"My Daemon: At All Cost","2024-07-26"
"My Daemon: The Judgement","2024-07-26"
"My Daemon: For All Departed Souls","2024-07-26"
"My Daemon: Strong-willed","2024-07-26"
"My Daemon: The Little Friendship","2024-07-26"
"My Daemon: Separated","2024-07-26"
"My Daemon: Impurity of Peace","2024-07-25"
"My Daemon: Awakening","2024-07-25"
"My Daemon: The Collector","2024-07-25"
"My Daemon: Corrupted Soul","2024-07-25"
"My Daemon: Friend or Foe","2024-07-25"
"My Daemon: A Tough Decision","2024-07-25"
"My Daemon: The Grave Journey","2024-07-24"
"Black Mirror: Season 3: Nosedive","2024-07-13"
"Black Mirror: Season 3: Shut Up and Dance","2024-07-12"
"Black Clover: Dungeon","2024-07-10"
"Black Clover: The Wizard King Saw, Continued","2024-07-10"
"The 8th Night","2024-06-23"
"The Ritual","2024-06-23"
"Re/Member","2024-06-13"
"Delicious in Dungeon: Episode 2: Roast Basilisk/Omelet/Kakiage","2024-06-09"
"Real Steel","2024-06-08"
"Manifest: Season 1: Connecting Flights","2024-05-25"
"Baby Driver","2024-05-10"
"Manifest: Season 1: Unclaimed Baggage","2024-05-04"
"Manifest: Season 1: Turbulence","2024-05-04"
"Manifest: Season 1: Reentry","2024-05-03"
"Manifest: Season 1: Pilot","2024-05-03"
"Jujutsu Kaisen 0: The Movie","2024-05-03"
"Moneyball","2024-04-30"
"Unlocked: A Jail Experiment: Decision Day","2024-04-30"
"Unlocked: A Jail Experiment: New Blood","2024-04-30"
"Unlocked: A Jail Experiment: The Vote","2024-04-30"
"Unlocked: A Jail Experiment: Fire & Hooch","2024-04-29"
"Unlocked: A Jail Experiment: Pod Daddy","2024-04-29"
"Unlocked: A Jail Experiment: The Ogs Take Control","2024-04-28"
"Unlocked: A Jail Experiment: Day 1","2024-04-28"
"Unlocked: A Jail Experiment: Shanks and Shakedowns","2024-04-26"
"Pacific Rim","2024-04-26"
"Baby Reindeer: Limited Series: Episode 1","2024-04-26"
"F9: The Fast Saga","2024-04-18"
"What Jennifer Did","2024-04-18"
"Grey's Anatomy: Season 9: Going, Going, Gone","2024-04-18"
"Grey's Anatomy: Season 8: Flight","2024-04-18"
"Grey's Anatomy: Season 4: Crash into Me: Part 1","2024-04-18"
"Grey's Anatomy: Season 3: Time After Time","2024-04-18"
"Black Clover: The Wizard King Saw","2024-04-18"
"Black Clover: What Happened on a Certain Day in the Castle Town","2024-04-18"
"Black Clover: Those Who Protect","2024-04-18"
"Black Clover: Beasts","2024-04-18"
"Black Clover: Go! Go! First Mission","2024-04-18"
"Black Clover: The Other New Recruit","2024-04-18"
"Black Clover: The Black Bulls","2024-04-18"
"Black Clover: The Path to the Wizard King","2024-04-18"
"Black Clover: The Magic Knights Entrance Exam","2024-04-17"
"Black Clover: To the Royal Capital of the Clover Kingdom!","2024-04-17"
"Black Clover: The Boys' Promise","2024-04-17"
"Black Clover: Asta and Yuno","2024-04-17"
"SPY x FAMILY: The Great Dodgeball Plan","2024-04-11"
"SPY x FAMILY: Show Off How in Love You Are","2024-04-11"
"SPY x FAMILY: The Counter-Secret Police Cover Operation","2024-04-11"
"SPY x FAMILY: Target: The Second Son","2024-04-11"
"SPY x FAMILY: The Friendship Scheme","2024-04-11"
"Love or Money","2024-04-09"
"SPY x FAMILY: Pass or Fail?","2024-04-02"
"SPY x FAMILY: An Interview at a Prestigious School","2024-04-02"
"SPY x FAMILY: Prepare for the Entrance Exam","2024-04-01"
"SPY x FAMILY: Secure a Wife","2024-04-01"
